Well,ct_sc2,ct_flua,ct_flub,ct_rsv
L8,No Ct,28.69,No Ct,27.38
L9,No Ct,29.47,No Ct,No Ct
M1,No Ct,No Ct,27.97,31.23
M10,No Ct,No Ct,No Ct,25.53
M11,31.16,29.88,No Ct,No Ct
M12,No Ct,28.57,No Ct,No Ct
M13,No Ct,No Ct,28.17,30.49
M14,No Ct,No Ct,No Ct,No Ct
M15,29.39,29.74,No Ct,No Ct
M16,26.64,No Ct,No Ct,No Ct
M17,No Ct,28.46,No Ct,No Ct
M18,31.7,33.11,29.46,No Ct
M19,No Ct,34.32,28.11,28.2
M2,No Ct,No Ct,No Ct,No Ct
M20,No Ct,No Ct,No Ct,No Ct
M21,No Ct,No Ct,27.53,No Ct
M22,No Ct,No Ct,No Ct,25.25
M23,31.4,29.22,No Ct,No Ct
M24,No Ct,28.83,No Ct,No Ct
M3,29.55,30.07,No Ct,No Ct
M4,27.07,No Ct,No Ct,No Ct
M5,No Ct,28.64,No Ct,No Ct
M6,31.5,32.11,29.88,No Ct
M7,No Ct,34.49,28.21,28.38
M8,No Ct,No Ct,No Ct,No Ct
M9,No Ct,No Ct,27.81,No Ct
N1,26.82,No Ct,No Ct,No Ct
N10,26.99,No Ct,28.29,No Ct
N11,29.74,No Ct,No Ct,28.1
N12,No Ct,No Ct,29.46,No Ct
N13,27.19,No Ct,No Ct,No Ct
N14,No Ct,No Ct,28.66,29.33
N15,27.25,28.97,30.59,33.67
N16,30.62,No Ct,No Ct,No Ct
N17,No Ct,31.14,No Ct,No Ct
N18,No Ct,No Ct,No Ct,No Ct
N19,No Ct,28.14,28.63,No Ct
N2,No Ct,No Ct,28.27,29.32
N20,No Ct,No Ct,27.44,25.54
N21,27.24,28.61,No Ct,30.96
N22,26.86,No Ct,28.06,No Ct
N23,29.23,No Ct,No Ct,28.02
N24,No Ct,No Ct,29.65,No Ct
N3,27.64,29.12,30.5,36.2
N4,31.26,No Ct,No Ct,No Ct
N5,No Ct,31.39,No Ct,No Ct
N6,No Ct,No Ct,No Ct,No Ct
N7,No Ct,28.31,28.72,No Ct
N8,No Ct,No Ct,27.57,25.31
N9,27.51,28.53,No Ct,30.96
O1,28.45,32.4,28.58,26.41
O10,28.38,32.02,28.77,26.48
O11,27.79,32.8,28.69,26.24
O12,28.05,33,28.42,26.2
O13,28.01,32.28,28.47,26.3
